number of vertices,number equations (full),time (full),num equations (closed),time (closed)
1,2,0.111643,2,0.4087
1,2,0.2271,2,0.1760
1,2,0.1702,2,0.1865
1,2,0.2674,2,0.2802
1,2,0.3557,2,0.2767
1,2,0.1631,2,0.1930
1,2,0.1601,2,0.2271
1,2,0.2630,2,0.3599
1,2,0.2039,2,0.3196
1,2,0.2170,2,0.1873
2,6,0.50895,6,0.12226
2,6,0.7077,6,0.11626
2,6,0.11305,6,0.11371
2,6,0.8561,6,0.10793
2,6,0.8349,6,0.10290
2,6,0.9577,6,0.10834
2,6,0.21931,6,0.39868
2,6,0.15000,6,0.18988
2,6,0.21512,6,0.17261
2,6,0.16326,6,0.16257
3,13,0.164334,12,0.108187
3,13,0.29423,12,0.41582
3,13,0.29657,12,0.40013
3,13,0.31113,12,0.57064
3,13,0.63569,12,0.65505
3,13,0.30888,12,0.37389
3,13,0.48855,12,0.47577
3,13,0.27683,12,0.41697
3,13,0.32862,12,0.45876
3,13,0.33374,12,0.73015
4,23,0.232870,17,0.182439
4,23,0.93092,17,0.72978
4,23,0.84434,17,0.73351
4,23,0.77229,17,0.77003
4,23,0.96414,17,0.121192
4,23,0.72663,17,0.92909
4,23,0.130082,17,0.89823
4,23,0.100132,17,0.84102
4,23,0.109013,17,0.85196
4,23,0.78910,17,0.87951
5,36,0.347594,22,0.183169
5,36,0.144771,22,0.120991
5,36,0.152431,22,0.136319
5,36,0.164322,22,0.121690
5,36,0.159641,22,0.117832
5,36,0.172103,22,0.125977
5,36,0.151373,22,0.121655
5,36,0.146103,22,0.110502
5,36,0.140996,22,0.106137
5,36,0.141449,22,0.121224
6,52,0.484159,27,0.383748
6,52,0.556394,27,0.423050
6,52,0.570602,27,0.416255
6,52,0.610257,27,0.401797
6,52,0.617631,27,0.460746
6,52,0.602075,27,0.384494
6,52,0.586114,27,0.377590
6,52,0.599280,27,0.406807
6,52,0.598758,27,0.432537
6,52,0.607460,27,0.406189
7,71,0.967799,32,0.685063
7,71,0.936743,32,0.847772
7,71,0.901681,32,0.708988
7,71,0.923444,32,0.743893
7,71,0.921634,32,0.675630
7,71,0.911094,32,0.641652
7,71,0.951392,32,0.802815
7,71,0.928048,32,0.664244
7,71,0.947152,32,0.770543
7,71,0.919887,32,0.683285
8,93,1.480942,37,0.770355
8,93,1.506985,37,0.737591
8,93,1.380155,37,0.732623
8,93,1.400442,37,0.747605
8,93,1.412440,37,0.937940
8,93,1.405084,37,0.773109
8,93,1.415467,37,0.721242
8,93,1.426627,37,0.765896
8,93,1.600411,37,0.773849
8,93,1.367891,37,0.784777
9,118,2.116704,42,0.853417
9,118,1.935539,42,1.2506
9,118,1.960918,42,0.876169
9,118,1.897597,42,0.919834
9,118,2.167736,42,0.974483
9,118,1.935532,42,0.863757
9,118,1.898248,42,0.865488
9,118,2.41663,42,0.836220
9,118,1.954501,42,0.977766
9,118,1.996760,42,0.967680
10,146,3.95281,47,1.32977
10,146,2.842985,47,1.1594
10,146,3.3831,47,1.18786
10,146,2.857280,47,1.39661
10,146,2.946622,47,1.9018
10,146,2.916231,47,1.24668
10,146,2.903780,47,1.19188
10,146,2.870944,47,0.968277
10,146,3.39775,47,1.32981
10,146,2.782946,47,1.14858
