number of vertices,number equations (full),time (full),num equations (closed),time (closed)
1,3,0.197965,3,0.8285
1,3,0.8654,3,0.11671
1,3,0.8464,3,0.13196
1,3,0.5855,3,0.11565
1,3,0.5729,3,0.64835
1,3,0.14885,3,0.8827
1,3,0.5214,3,0.5516
1,3,0.9999,3,0.4306
1,3,0.9244,3,0.7020
1,3,0.101315,3,0.25587
2,6,0.117733,6,0.29078
2,6,0.11703,6,0.17878
2,6,0.13282,6,0.15530
2,6,0.26273,6,0.28275
2,6,0.17916,6,0.18227
2,6,0.14265,6,0.18976
2,6,0.16939,6,0.16923
2,6,0.15348,6,0.10785
2,6,0.13399,6,0.12011
2,6,0.47865,6,0.35008
3,18,0.281433,18,0.84719
3,18,0.53660,18,0.67565
3,18,0.51144,18,0.94003
3,18,0.54966,18,0.78965
3,18,0.62265,18,0.80998
3,18,0.93919,18,0.109358
3,18,0.104830,18,0.95182
3,18,0.96358,18,0.207387
3,18,0.180646,18,0.215022
3,18,0.97621,18,0.80793
4,36,0.575425,36,0.183479
4,36,0.187396,36,0.158055
4,36,0.166692,36,0.170242
4,36,0.145432,36,0.174443
4,36,0.218012,36,0.157430
4,36,0.165038,36,0.168941
4,36,0.146963,36,0.168901
4,36,0.163746,36,0.168097
4,36,0.172684,36,0.164564
4,36,0.156822,36,0.169885
5,60,1.137757,60,0.787553
5,60,1.52320,60,0.839340
5,60,0.828881,60,0.871976
5,60,0.868938,60,0.863942
5,60,0.797591,60,0.826755
5,60,0.857980,60,0.871379
5,60,1.127175,60,0.964687
5,60,0.912660,60,0.838233
5,60,0.771747,60,0.764934
5,60,0.752577,60,0.778512
6,90,1.722068,90,1.608414
6,90,1.772372,90,1.613302
6,90,1.778466,90,1.621894
6,90,1.750919,90,1.717810
6,90,1.792016,90,1.798711
6,90,1.733273,90,2.88095
6,90,2.35634,90,1.818029
6,90,1.666524,90,1.722296
6,90,1.781003,90,1.562623
6,90,1.860154,90,1.521939
7,126,3.32943,126,2.444191
7,126,2.444513,126,2.823429
7,126,2.573495,126,2.456785
7,126,2.738151,126,2.626184
7,126,2.529002,126,3.234118
7,126,3.95745,126,2.468182
7,126,2.833481,126,2.487449
7,126,2.484070,126,2.621111
7,126,2.571515,126,2.435142
7,126,2.726959,126,2.510098
8,168,4.766117,168,4.651742
8,168,4.881007,168,5.79372
8,168,4.953881,168,4.402463
8,168,4.827555,168,4.673062
8,168,4.946907,168,7.292086
8,168,4.790651,168,4.484049
8,168,4.962733,168,4.457733
8,168,4.612453,168,4.306614
8,168,4.762096,168,4.605975
8,168,4.736443,168,4.785583
9,216,7.78533,216,7.219698
9,216,6.998030,216,6.735317
9,216,6.682747,216,6.747131
9,216,6.660763,216,6.704792
9,216,6.839929,216,7.144486
9,216,6.630500,216,7.936061
9,216,6.999211,216,6.645571
9,216,6.638302,216,7.618040
9,216,6.996339,216,6.761241
9,216,6.679821,216,7.151385
10,270,9.662858,270,9.223881
10,270,9.380947,270,9.130930
10,270,9.476924,270,9.492274
10,270,9.629559,270,9.333667
10,270,9.242267,270,11.415594
10,270,9.344098,270,9.327344
10,270,9.748430,270,9.329828
10,270,9.918531,270,9.389414
10,270,9.346661,270,9.454399
10,270,9.395355,270,9.425405
