number of vertices,number equations (full),time (full),num equations (closed),time (closed)
1,2,0.963513,2,0.413552
1,2,0.410645,2,0.405969
1,2,0.424700,2,0.395272
1,2,0.421980,2,0.429959
1,2,0.516070,2,0.416074
1,2,0.408702,2,0.409585
1,2,0.381124,2,0.387487
1,2,0.413444,2,0.453995
1,2,0.448758,2,0.402455
1,2,0.421986,2,0.413277
2,6,1.874622,6,1.458866
2,6,1.571502,6,1.551740
2,6,1.792943,6,1.528988
2,6,1.509587,6,1.463321
2,6,1.556091,6,1.533631
2,6,1.566346,6,1.469592
2,6,1.503597,6,1.533828
2,6,1.744847,6,1.632300
2,6,1.579490,6,1.534846
2,6,1.539812,6,1.552472
3,13,4.458021,12,3.53349
3,13,4.319356,12,2.807626
3,13,4.577008,12,2.715594
3,13,4.491648,12,2.869771
3,13,4.588549,12,2.904761
3,13,4.351432,12,2.812895
3,13,4.161690,12,2.841959
3,13,4.235972,12,2.979057
3,13,4.315532,12,2.962745
3,13,4.305478,12,2.923327
4,23,10.328188,17,4.846119
4,23,8.728730,17,4.767810
4,23,8.748068,17,4.822331
4,23,8.701542,17,5.40730
4,23,9.102242,17,4.884069
4,23,8.637042,17,4.935136
4,23,8.835690,17,4.573668
4,23,8.743422,17,4.645912
4,23,8.888216,17,4.688977
4,23,8.687332,17,4.852484
5,36,14.776071,22,6.910430
5,36,15.554190,22,6.180005
5,36,20.202925,22,8.262699
5,36,19.992755,22,7.58054
5,36,15.238435,22,6.772277
5,36,18.85009,22,8.304501
5,36,19.401769,22,7.117159
5,36,15.699025,22,6.878739
5,36,18.620593,22,8.164929
5,36,15.282609,22,6.203279
6,52,22.451037,27,8.87063
6,52,21.956871,27,7.932259
6,52,22.534021,27,8.592350
6,52,22.508069,27,8.694860
6,52,22.164010,27,8.15849
6,52,21.753163,27,8.322853
6,52,22.243414,27,7.928686
6,52,22.686470,27,8.49028
6,52,24.28992,27,8.767954
6,52,22.463349,27,7.899667
7,71,33.103002,32,10.223832
7,71,32.715442,32,11.615419
7,71,33.89453,32,9.980000
7,71,32.729400,32,10.146855
7,71,32.701701,32,9.996706
7,71,33.116684,32,9.872297
7,71,32.934006,32,10.142709
7,71,32.985208,32,10.53764
7,71,33.237462,32,10.187834
7,71,33.103206,32,8.709219
8,93,41.514959,37,10.480510
8,93,40.439042,37,10.472678
8,93,40.64304,37,10.214006
8,93,40.202413,37,10.235808
8,93,40.139723,37,10.653691
8,93,40.87229,37,10.353847
8,93,41.999687,37,10.440442
8,93,40.646524,37,10.183050
8,93,40.994030,37,10.299849
8,93,40.440325,37,10.411136
9,118,56.359260,42,12.16912
9,118,55.619308,42,11.984064
9,118,55.757005,42,12.5173
9,118,54.857864,42,12.1093
9,118,54.494188,42,11.758052
9,118,54.958043,42,12.964690
9,118,54.937803,42,11.962022
9,118,55.67563,42,11.959470
9,118,99.344425,42,17.160553
9,118,88.614652,42,17.561292
10,146,110.107608,47,14.250031
10,146,76.310403,47,13.957389
10,146,75.323264,47,14.111182
10,146,74.536758,47,14.458940
10,146,74.861202,47,14.728988
10,146,74.581735,47,14.249328
10,146,74.334648,47,13.971838
10,146,74.472017,47,13.748538
10,146,74.813640,47,14.125166
10,146,75.963941,47,14.209470
11,177,97.862845,52,15.762042
11,177,99.210480,52,15.892438
11,177,97.863128,52,15.916533
11,177,97.902772,52,16.109700
11,177,99.967220,52,15.456778
